start;end;soc;länge
6820;6848;3510,36;29
6851;6872;3509,55;22
6875;6896;3509,55;22
6899;6920;3509,55;22
6923;6944;3509,55;22
6947;6968;3509,55;22
6971;6992;3509,55;22
6995;7016;3509,55;22
7019;7040;3509,55;22
7043;7064;3509,55;22
7067;7088;3509,55;22
7091;7112;3509,55;22
7115;7136;3509,55;22
7139;7160;3505,86;22
7163;7184;3505,86;22
7187;7208;3505,86;22
7211;7232;3505,86;22
7235;7256;3505,86;22
7259;7280;3505,86;22
7283;7304;3505,86;22
7307;7319;3505,86;13
7322;7340;3540,00;21
7347;7368;3448,34;22
7371;7392;3448,34;22
7395;7409;3448,34;15
7412;7434;3445,51;23
7437;7458;3439,36;22
7461;7484;3439,36;24
7487;7519;3423,23;33
7522;7543;3412,48;22
7546;7567;3412,48;22
7570;7591;3412,48;22
7594;7615;3412,48;22
7618;7639;3412,48;22
7642;7663;3412,48;22
7666;7687;3412,48;22
7690;7711;3412,48;22
7714;7735;3412,48;22
7738;7759;3412,48;22
7762;7783;3412,48;22
7786;7807;3412,48;22
7810;7831;3412,48;22
7834;7855;3412,48;22
7858;7879;3412,48;22
7882;7903;3412,48;22
7906;7927;3412,48;22
7930;7951;3412,48;22
7954;7966;3412,48;13
7971;7992;3345,66;22
7995;8016;3345,66;22
8019;8040;3345,66;22
8043;8064;3345,66;22
8067;8088;3345,66;22
8091;8112;3345,66;22
8115;8136;3345,66;22
8139;8155;3345,66;17
8158;8179;3318,67;22
8182;8203;3318,67;22
8206;8227;3318,67;22
8230;8251;3318,67;22
8254;8275;3318,67;22
8278;8299;3318,67;22
8302;8323;3318,67;22
8326;8347;3318,67;22
8350;8371;3318,67;22
8374;8395;3318,67;22
8398;8419;3318,67;22
8422;8443;3318,67;22
8446;8467;3318,67;22
8470;8491;3318,67;22
8494;8515;3318,67;22
8518;8539;3318,67;22
8542;8563;3318,67;22
8566;8587;3318,67;22
8590;8611;3318,67;22
8614;8626;3318,67;13
8636;8657;2275,94;22
8660;8674;2275,94;15
8691;8718;3253,99;28
8748;8763;573,95;18
8796;8817;3540,02;22
8820;8830;3540,02;11
8867;8885;566,22;21
8977;8992;3539,99;18
9076;9092;3540,00;19
9109;9130;444,71;22
9133;9146;444,71;14
9164;9177;3539,99;16
