zeitraum_id;start;end;soc;länge;länge_stunden;soc_variation;avg_aktivität;max_aktivität;qualität_score;typ
118;5539;5586;2675,160;48;12,000;49,780;4,150;125,680;0,497;niedrig_aktiv
816;26594;26641;3517,760;48;12,000;47,550;3,960;148,360;0,497;niedrig_aktiv
970;32784;32831;3228,200;48;12,000;48,780;4,070;119,680;0,497;niedrig_aktiv
693;22785;22832;2942,200;48;12,000;79,940;6,660;310,340;0,496;niedrig_aktiv
714;23442;23489;3304,540;48;12,000;78,710;6,560;120,640;0,496;niedrig_aktiv
931;31052;31091;3297,820;40;10,000;65,050;6,500;260,200;0,496;niedrig_aktiv
995;33924;33971;3384,670;48;12,000;84,630;7,050;300,800;0,495;niedrig_aktiv
59;2745;2792;3507,150;48;12,000;74,150;10,180;148,960;0,493;niedrig_aktiv
60;2793;2840;3501,630;48;12,000;99,100;12,260;191,840;0,492;niedrig_aktiv
117;5491;5538;2698,800;48;12,000;79,480;11,460;149,840;0,492;niedrig_aktiv
170;8021;8068;3463,720;48;12,000;83,640;12,130;130,240;0,492;niedrig_aktiv
225;9710;9729;300,780;20;5,000;219,350;77,370;761,560;0,492;niedrig_aktiv
844;27652;27699;3315,780;48;12,000;141,010;11,750;260,440;0,492;niedrig_aktiv
904;29989;30036;3212,070;48;12,000;152,980;12,750;228,680;0,492;niedrig_aktiv
277;11146;11187;2449,120;42;10,500;236,960;22,570;947,840;0,491;niedrig_aktiv
758;24566;24584;3492,970;19;4,750;63,510;13,370;254,040;0,491;niedrig_aktiv
24;1105;1152;2408,990;48;12,000;162,850;15,710;299,720;0,490;niedrig_aktiv
207;9278;9290;3450,730;13;3,250;223,100;68,650;817,960;0,490;niedrig_aktiv
66;3081;3128;3491,320;48;12,000;103,270;16,410;413,080;0,489;niedrig_aktiv
282;11298;11303;3285,050;6;1,500;202,800;135,200;811,200;0,489;niedrig_aktiv
827;27064;27111;3145,610;48;12,000;196,260;16,360;785,040;0,489;niedrig_aktiv
15;673;720;3501,780;48;12,000;108,280;18,020;163,680;0,488;niedrig_aktiv
17;769;816;3493,970;48;12,000;141,360;18,890;206,960;0,488;niedrig_aktiv
654;21687;21734;3338,710;48;12,000;217,400;18,120;307,530;0,488;niedrig_aktiv
994;33876;33923;3321,980;48;12,000;222,420;18,540;889,680;0,488;niedrig_aktiv
83;3896;3943;3457,350;48;12,000;148,770;19,540;296,840;0,487;niedrig_aktiv
778;25237;25284;3450,600;48;12,000;201,090;19,610;804,360;0,487;niedrig_aktiv
976;33072;33119;3223,230;48;12,000;231,360;19,280;399,560;0,487;niedrig_aktiv
1009;34556;34603;3163,940;48;12,000;230,860;19,240;923,440;0,487;niedrig_aktiv
11;481;528;3225,050;48;12,000;247,140;20,600;306,480;0,486;niedrig_aktiv
127;5971;6018;3314,970;48;12,000;181,530;21,710;188,440;0,486;niedrig_aktiv
594;20127;20139;3522,650;13;3,250;224,700;69,140;898,800;0,486;niedrig_aktiv
766;24829;24876;3393,350;48;12,000;258,760;21,560;213,560;0,486;niedrig_aktiv
793;25773;25819;3534,480;47;11,750;248,490;21,150;993,960;0,486;niedrig_aktiv
828;27112;27159;3365,470;48;12,000;263,380;21,950;591,080;0,486;niedrig_aktiv
1013;34751;34798;2525,190;48;12,000;224,460;20,580;897,840;0,486;niedrig_aktiv
361;13536;13583;3276,450;48;12,000;269,080;22,420;1076,320;0,485;niedrig_aktiv
660;21892;21939;3426,970;48;12,000;238,180;23,290;391,790;0,485;niedrig_aktiv
906;30085;30132;3465,920;48;12,000;157,930;23,280;615,520;0,485;niedrig_aktiv
985;33467;33514;3310,190;48;12,000;268,270;22,360;278,400;0,485;niedrig_aktiv
638;21205;21244;408,220;40;10,000;247,540;24,750;932,070;0,484;niedrig_aktiv
653;21639;21686;3533,530;48;12,000;300,470;25,040;1201,880;0,484;niedrig_aktiv
777;25189;25236;3293,090;48;12,000;284,980;23,750;537,520;0,484;niedrig_aktiv
817;26642;26689;3504,900;48;12,000;204,510;24,510;190,200;0,484;niedrig_aktiv
905;30037;30084;3346,540;48;12,000;216,350;24,500;349,600;0,484;niedrig_aktiv
1010;34604;34651;3409,300;48;12,000;294,150;24,510;648,040;0,484;niedrig_aktiv
394;14630;14677;3533,030;48;12,000;330,740;27,560;1322,960;0,482;niedrig_aktiv
400;14863;14906;503,230;44;11,000;295,780;26,890;1111,880;0,482;niedrig_aktiv
986;33515;33562;3420,260;48;12,000;214,230;27,260;447,840;0,482;niedrig_aktiv
1004;34364;34411;2236,200;48;12,000;228,760;26,770;915,040;0,482;niedrig_aktiv
154;7253;7300;3503,590;48;12,000;187,770;29,370;227,120;0,481;niedrig_aktiv
346;13092;13128;3532,590;37;9,250;271,130;29,310;1084,520;0,481;niedrig_aktiv
655;21735;21782;3314,990;48;12,000;355,410;29,620;1421,630;0,481;niedrig_aktiv
919;30579;30615;3532,620;37;9,250;264,700;28,620;1058,800;0,481;niedrig_aktiv
13;577;624;3325,470;48;12,000;263,290;29,850;303,440;0,480;niedrig_aktiv
29;1345;1392;3509,180;48;12,000;88,490;30,300;223,560;0,480;niedrig_aktiv
387;14434;14481;3532,330;48;12,000;364,420;30,370;1457,680;0,480;niedrig_aktiv
