strategie_id;zeitraum_id;strategie_typ;start_index;end_index;länge_stunden;basis_soc;max_soc_erreicht;min_soc_erreicht;gesamte_lademenge;gesamte_entlademenge;profit_euro
606;877;Einfach;29794;29815;5.5;3523.79;3553.45;1238.83;2314.6275;2314.63;29.88
750;1048;Einfach;34246;34267;5.5;3408.89;3556.26;2262.8;1371.5425;1371.5475;29.81
92;182;Einfach;4385;4406;5.5;3479.93;3799.98;1504.82;2295.15;2295.16;29.59
503;756;Einfach;26293;26314;5.5;3144.67;3144.66;441.35;2703.3275;2703.32;29.28
551;799;Einfach;27470;27493;6.0;1035.96;1616.07;200.25;1415.8125;1415.835;28.99
17;16;Aggressiv;361;391;7.75;1200.0;1200.02;200.0;999.9875;1000.01;28.98
810;1075;Aggressiv;34931;34952;5.5;3477.34;3799.23;1509.87;2289.36;2289.3625;28.87
138;288;Entlade-Lade;6995;7016;5.5;3509.55;3509.54;2129.65;1379.9099999999999;1379.9025000000001;28.86
70;126;Entlade-Lade;3004;3025;5.5;3492.99;3492.99;2196.24;1296.755;1296.7425;28.66
674;977;Einfach;32476;32497;5.5;3418.32;3418.32;1022.05;2396.2775;2396.2725;28.4
564;824;Einfach;28260;28281;5.5;3408.64;3408.66;1323.38;2085.2625;2085.255;28.19
652;935;Einfach;31429;31450;5.5;3195.73;3405.87;676.71;2729.15;2729.1325;28.14
102;209;Einfach;5053;5074;5.5;3491.09;3799.98;1549.94;2250.0375;2250.03;28.13
689;983;Entlade-Lade;32620;32649;7.5;3418.32;3418.32;2195.56;1222.765;1222.7525;27.96
651;929;Aggressiv;31278;31301;6.0;3431.49;3431.48;2195.6;1235.8674999999998;1235.8925;27.91
86;177;Einfach;4265;4286;5.5;3479.93;3479.91;2144.99;1334.93;1334.925;27.77
83;156;Einfach;3733;3753;5.25;3370.55;3370.53;1914.02;1456.5175;1456.5225;27.37
388;613;Einfach;20556;20570;3.75;440.34;2084.43;355.37;1729.0675;1729.06;27.36
509;760;Aggressiv;26394;26415;5.5;2751.68;2751.67;1207.36;1544.32;1544.325;27.29
103;210;Einfach;5077;5098;5.5;3491.09;3491.08;2159.36;1331.74;1331.7350000000001;26.86
718;1032;Aggressiv;33877;33898;5.5;3317.45;3798.46;1206.28;2592.1675;2592.1825;26.79
244;453;Aggressiv;13165;13175;2.75;505.03;1859.58;372.56;1487.025;1487.025;26.72
707;1011;Entlade-Lade;33292;33313;5.5;3259.86;3259.86;2045.91;1213.9550000000002;1213.945;26.46
487;739;Entlade-Lade;25798;25818;5.25;3539.87;3539.87;2354.57;1185.3175;1185.3025;26.35
151;316;Entlade-Lade;7666;7687;5.5;3412.48;3412.49;2089.87;1322.615;1322.6075;26.34
87;178;Einfach;4289;4310;5.5;3479.93;3479.93;2058.28;1421.645;1421.65;26.3
456;697;Einfach;24253;24267;3.75;3124.4;3799.96;2714.45;1085.49;1085.5025;26.0
546;793;Einfach;27267;27288;5.5;673.47;2324.05;602.94;1721.1025;1721.1125;25.95
815;1078;Einfach;35015;35038;6.0;3490.52;3667.91;2509.58;1158.3400000000001;1158.3475;25.75
726;1036;Aggressiv;33969;33990;5.5;3402.08;3798.61;1282.23;2516.37;2516.38;25.7
