index;timestamp;charge_potential;discharge_potential;soc
168;2025-01-02 18:00;1900,00;-1900,00;600,00
169;2025-01-02 18:15;1900,00;-1900,00;600,00
170;2025-01-02 18:30;1900,00;-1900,00;600,00
171;2025-01-02 18:45;1900,00;-1900,00;600,00
172;2025-01-02 19:00;1900,00;-1900,00;600,00
173;2025-01-02 19:15;1900,00;-1900,00;600,00
174;2025-01-02 19:30;1900,00;-1900,00;600,00
175;2025-01-02 19:45;1900,00;-1900,00;600,00
176;2025-01-02 20:00;1900,00;-1900,00;600,00
177;2025-01-02 20:15;1900,00;-1900,00;600,00
178;2025-01-02 20:30;1900,00;-1900,00;600,00
179;2025-01-02 20:45;1900,00;-1900,00;600,00
180;2025-01-02 21:00;1900,00;-1900,00;600,00
181;2025-01-02 21:15;1900,00;-1900,00;600,00
182;2025-01-02 21:30;1900,00;-1900,00;600,00
183;2025-01-02 21:45;1900,00;-1900,00;600,00
184;2025-01-02 22:00;1900,00;-1900,00;600,00
185;2025-01-02 22:15;1900,00;-1900,00;600,00
186;2025-01-02 22:30;1900,00;-1900,00;600,00
187;2025-01-02 22:45;1900,00;-1900,00;600,00
188;2025-01-02 23:00;1900,00;-1900,00;600,00
189;2025-01-02 23:15;1900,00;-1900,00;600,00
190;2025-01-02 23:30;1900,00;-1900,00;600,00
191;2025-01-02 23:45;1900,00;-1900,00;600,00
192;2025-01-03 00:00;1900,00;-1900,00;600,00
193;2025-01-03 00:15;1900,00;-1900,00;600,00
194;2025-01-03 00:30;1900,00;-1900,00;600,00
195;2025-01-03 00:45;1900,00;-1900,00;600,00
196;2025-01-03 01:00;1900,00;-1900,00;600,00
197;2025-01-03 01:15;1900,00;-1900,00;600,00
198;2025-01-03 01:30;1900,00;-1900,00;600,00
199;2025-01-03 01:45;1900,00;-1900,00;600,00
200;2025-01-03 02:00;1900,00;-1900,00;600,00
201;2025-01-03 02:15;1900,00;-1900,00;600,00
202;2025-01-03 02:30;1900,00;-1900,00;600,00
203;2025-01-03 02:45;1900,00;-1900,00;600,00
204;2025-01-03 03:00;1900,00;-1900,00;600,00
205;2025-01-03 03:15;1900,00;-1900,00;600,00
206;2025-01-03 03:30;1900,00;-1900,00;600,00
207;2025-01-03 03:45;1900,00;-1900,00;600,00
208;2025-01-03 04:00;1900,00;-1900,00;600,00
209;2025-01-03 04:15;1900,00;-1900,00;600,00
210;2025-01-03 04:30;1900,00;-1900,00;600,00
211;2025-01-03 04:45;1900,00;-1900,00;600,00
212;2025-01-03 05:00;1900,00;-1900,00;600,00
213;2025-01-03 05:15;1900,00;-1900,00;600,00
214;2025-01-03 05:30;1900,00;-1900,00;600,00
215;2025-01-03 05:45;1900,00;-1900,00;600,00
216;2025-01-03 06:00;1900,00;-1900,00;600,00
217;2025-01-03 06:15;1900,00;-1900,00;600,00
218;2025-01-03 06:30;1900,00;-1900,00;600,00
219;2025-01-03 06:45;1900,00;-1900,00;600,00
220;2025-01-03 07:00;1900,00;-1900,00;600,00
221;2025-01-03 07:15;1900,00;-1900,00;600,00
222;2025-01-03 07:30;1900,00;-1900,00;600,00
223;2025-01-03 07:45;1900,00;-1900,00;600,00
224;2025-01-03 08:00;1900,00;-1900,00;600,00
225;2025-01-03 08:15;1900,00;-1900,00;600,00
226;2025-01-03 08:30;1900,00;-1900,00;600,00
227;2025-01-03 08:45;1900,00;-1900,00;600,00
228;2025-01-03 09:00;1900,00;-1900,00;600,00
229;2025-01-03 09:15;1900,00;-1900,00;600,00
230;2025-01-03 09:30;1900,00;-1900,00;600,00
231;2025-01-03 09:45;1900,00;-1900,00;600,00
232;2025-01-03 10:00;1900,00;-1900,00;600,00
233;2025-01-03 10:15;1900,00;-1900,00;600,00
234;2025-01-03 10:30;1900,00;-1900,00;600,00
235;2025-01-03 10:45;1900,00;-1900,00;600,00
236;2025-01-03 11:00;1900,00;-1900,00;600,00
237;2025-01-03 11:15;1900,00;-1900,00;600,00
238;2025-01-03 11:30;1900,00;-1900,00;600,00
239;2025-01-03 11:45;1900,00;-1900,00;600,00
240;2025-01-03 12:00;1900,00;-1900,00;600,00
241;2025-01-03 12:15;1900,00;-1900,00;600,00
242;2025-01-03 12:30;1900,00;-1900,00;600,00
243;2025-01-03 12:45;1900,00;-1900,00;600,00
244;2025-01-03 13:00;1900,00;-1900,00;600,00
245;2025-01-03 13:15;1900,00;-1900,00;600,00
246;2025-01-03 13:30;1900,00;-1900,00;600,00
247;2025-01-03 13:45;1900,00;-1900,00;600,00
248;2025-01-03 14:00;1900,00;-1900,00;600,00
249;2025-01-03 14:15;1900,00;-1900,00;600,00
250;2025-01-03 14:30;1900,00;-1900,00;600,00
251;2025-01-03 14:45;1900,00;-1900,00;600,00
252;2025-01-03 15:00;1900,00;-1900,00;600,00
253;2025-01-03 15:15;1900,00;-1900,00;600,00
254;2025-01-03 15:30;1900,00;-1900,00;600,00
255;2025-01-03 15:45;1900,00;-1900,00;600,00
256;2025-01-03 16:00;1900,00;-1900,00;600,00
257;2025-01-03 16:15;1900,00;-1900,00;600,00
258;2025-01-03 16:30;1900,00;-1900,00;600,00
259;2025-01-03 16:45;1900,00;-1900,00;600,00
260;2025-01-03 17:00;1900,00;-1900,00;600,00
261;2025-01-03 17:15;1900,00;-1900,00;600,00
262;2025-01-03 17:30;1900,00;-1900,00;600,00
263;2025-01-03 17:45;1900,00;-1900,00;600,00
264;2025-01-03 18:00;1900,00;-1900,00;600,00
265;2025-01-03 18:15;1900,00;-1900,00;600,00
266;2025-01-03 18:30;1900,00;-1900,00;600,00
267;2025-01-03 18:45;1900,00;-1900,00;600,00
268;2025-01-03 19:00;1900,00;-1900,00;600,00
269;2025-01-03 19:15;1900,00;-1900,00;600,00
270;2025-01-03 19:30;1900,00;-1900,00;600,00
271;2025-01-03 19:45;1900,00;-1900,00;600,00
272;2025-01-03 20:00;1900,00;-1900,00;600,00
273;2025-01-03 20:15;1900,00;-1900,00;600,00
274;2025-01-03 20:30;1900,00;-1900,00;600,00
275;2025-01-03 20:45;1900,00;-1900,00;600,00
276;2025-01-03 21:00;1900,00;-1900,00;600,00
277;2025-01-03 21:15;1900,00;-1900,00;600,00
278;2025-01-03 21:30;1900,00;-1900,00;600,00
279;2025-01-03 21:45;1900,00;-1900,00;600,00
280;2025-01-03 22:00;1900,00;-1900,00;600,00
281;2025-01-03 22:15;1900,00;-1900,00;600,00
282;2025-01-03 22:30;1900,00;-1900,00;600,00
283;2025-01-03 22:45;1900,00;-1900,00;600,00
284;2025-01-03 23:00;1900,00;-1900,00;600,00
285;2025-01-03 23:15;1900,00;-1900,00;600,00
286;2025-01-03 23:30;1900,00;-1900,00;600,00
287;2025-01-03 23:45;1900,00;-1900,00;600,00
288;2025-01-04 00:00;1900,00;-1900,00;600,00
289;2025-01-04 00:15;1900,00;-1900,00;600,00
290;2025-01-04 00:30;1900,00;-1900,00;600,00
291;2025-01-04 00:45;1900,00;-1900,00;600,00
292;2025-01-04 01:00;1900,00;-1900,00;600,00
293;2025-01-04 01:15;1900,00;-1900,00;600,00
294;2025-01-04 01:30;1900,00;-1900,00;600,00
295;2025-01-04 01:45;1900,00;-1900,00;600,00
296;2025-01-04 02:00;1900,00;-1900,00;600,00
297;2025-01-04 02:15;1900,00;-1900,00;600,00
298;2025-01-04 02:30;1900,00;-1900,00;600,00
299;2025-01-04 02:45;1900,00;-1900,00;600,00
300;2025-01-04 03:00;1900,00;-1900,00;600,00
301;2025-01-04 03:15;1900,00;-1900,00;600,00
302;2025-01-04 03:30;1900,00;-1900,00;600,00
303;2025-01-04 03:45;1900,00;-1900,00;600,00
304;2025-01-04 04:00;1900,00;-1900,00;600,00
305;2025-01-04 04:15;1900,00;-1900,00;600,00
306;2025-01-04 04:30;1900,00;-1900,00;600,00
307;2025-01-04 04:45;1900,00;-1900,00;600,00
308;2025-01-04 05:00;1900,00;-1900,00;600,00
309;2025-01-04 05:15;1900,00;-1900,00;600,00
310;2025-01-04 05:30;1900,00;-1900,00;600,00
311;2025-01-04 05:45;1900,00;-1900,00;600,00
312;2025-01-04 06:00;1900,00;-1900,00;600,00
313;2025-01-04 06:15;1900,00;-1900,00;600,00
314;2025-01-04 06:30;1900,00;-1900,00;600,00
315;2025-01-04 06:45;1900,00;-1900,00;600,00
316;2025-01-04 07:00;1900,00;-1900,00;600,00
317;2025-01-04 07:15;1900,00;-1900,00;600,00
318;2025-01-04 07:30;1900,00;-1900,00;600,00
319;2025-01-04 07:45;1900,00;-1900,00;600,00
320;2025-01-04 08:00;1900,00;-1900,00;600,00
321;2025-01-04 08:15;1900,00;-1900,00;600,00
322;2025-01-04 08:30;1900,00;-1900,00;600,00
323;2025-01-04 08:45;1900,00;-1900,00;600,00
324;2025-01-04 09:00;1900,00;-1900,00;600,00
325;2025-01-04 09:15;1900,00;-1900,00;600,00
