index,timestamp,soc,type,limit,difference
25079,2025-09-19 05:45,-22.83000000001443,below_min,200.0,222.83000000001442
25080,2025-09-19 06:00,-63.29750000001443,below_min,200.0,263.29750000001445
25081,2025-09-19 06:15,-103.76500000001442,below_min,200.0,303.7650000000144
25082,2025-09-19 06:30,-144.23250000001443,below_min,200.0,344.2325000000144
25083,2025-09-19 06:45,-227.36000000001442,below_min,200.0,427.36000000001445
25084,2025-09-19 07:00,-267.8275000000144,below_min,200.0,467.8275000000144
25085,2025-09-19 07:15,-376.7675000000144,below_min,200.0,576.7675000000145
25086,2025-09-19 07:30,-492.41750000001446,below_min,200.0,692.4175000000145
25087,2025-09-19 07:45,-538.0475000000145,below_min,200.0,738.0475000000145
25088,2025-09-19 08:00,-474.54750000001445,below_min,200.0,674.5475000000145
25089,2025-09-19 08:15,-224.77750000001444,below_min,200.0,424.77750000001447
25090,2025-09-19 08:30,34.402499999985565,below_min,200.0,165.59750000001443
25231,2025-09-20 19:45,-194.805000000014,below_min,200.0,394.805000000014
25232,2025-09-20 20:00,50.642499999986,below_min,200.0,149.357500000014
25334,2025-09-21 21:30,119.89999999998639,below_min,200.0,80.10000000001361
25335,2025-09-21 21:45,119.89999999998639,below_min,200.0,80.10000000001361
25336,2025-09-21 22:00,116.72999999998639,below_min,200.0,83.27000000001361
25337,2025-09-21 22:15,107.2399999999864,below_min,200.0,92.7600000000136
25338,2025-09-21 22:30,107.2399999999864,below_min,200.0,92.7600000000136
25339,2025-09-21 22:45,86.0699999999864,below_min,200.0,113.9300000000136
25340,2025-09-21 23:00,63.389999999986394,below_min,200.0,136.6100000000136
25341,2025-09-21 23:15,63.389999999986394,below_min,200.0,136.6100000000136
25342,2025-09-21 23:30,63.389999999986394,below_min,200.0,136.6100000000136
25343,2025-09-21 23:45,63.389999999986394,below_min,200.0,136.6100000000136
25344,2025-09-22 00:00,63.389999999986394,below_min,200.0,136.6100000000136
25345,2025-09-22 00:15,63.389999999986394,below_min,200.0,136.6100000000136
25346,2025-09-22 00:30,63.389999999986394,below_min,200.0,136.6100000000136
25347,2025-09-22 00:45,63.389999999986394,below_min,200.0,136.6100000000136
25348,2025-09-22 01:00,63.389999999986394,below_min,200.0,136.6100000000136
25349,2025-09-22 01:15,63.389999999986394,below_min,200.0,136.6100000000136
25350,2025-09-22 01:30,63.389999999986394,below_min,200.0,136.6100000000136
25351,2025-09-22 01:45,63.389999999986394,below_min,200.0,136.6100000000136
25352,2025-09-22 02:00,63.389999999986394,below_min,200.0,136.6100000000136
25353,2025-09-22 02:15,63.389999999986394,below_min,200.0,136.6100000000136
25354,2025-09-22 02:30,63.389999999986394,below_min,200.0,136.6100000000136
25355,2025-09-22 02:45,63.389999999986394,below_min,200.0,136.6100000000136
25356,2025-09-22 03:00,63.389999999986394,below_min,200.0,136.6100000000136
25357,2025-09-22 03:15,63.389999999986394,below_min,200.0,136.6100000000136
25358,2025-09-22 03:30,63.389999999986394,below_min,200.0,136.6100000000136
25359,2025-09-22 03:45,63.389999999986394,below_min,200.0,136.6100000000136
